ID,lon,lat,quota,nome,nomelista
1,11.65,42.88,829,ABBADIA S. SALVATORE,Abbadia_s_salvatore
3,11.09,42.71,17,ALBERESE (Casello Idraulico),Alberese_cas_idr
4,10.98,43.21,495,ANCQUA,Ancqua
5,12.05,43.55,429,ANGHIARI,Anghiari
6,11.33,43.73,170,Antella,Antella
7,11.87,43.47,277,AREZZO (Areoporto),Arezzo_aeroporto
8,11.9,43.47,296,AREZZO (San Fabiano) ,Arezzo_san_fabiano
9,10.12,44.27,385,ARLIA  ,Arlia
11,10.62,43.53,141,BAGNI DI CASCIANA,Bagni_di_casciana
14,10,44.32,250,BAGNONE,Bagnone
13,11.33,43.76,62,Bagno a Ripoli,Bagno_a_ripoli
16,10.62,43.27,160,BIBBONA,Bibbona
18,11.4,43.95,193,BORGO S.LORENZO ,Borgo_san_lorenzo
19,10.68,44.13,1340,BOSCOLUNGO ,Boscolungo
20,10.61,43.36,65,CACCIATINA,Cacciatina
21,11.17,43.87,67,Calenzano,Calenzano
22,11.83,43.78,1111,CAMALDOLI (Eremo) ,Camaldoli
23,10.27,44.05,850,CAMPAGRINA ,Campagrina
24,10.5,43.36,293,CANNETO,Canneto
25,11.08,44.02,582,CANTAGALLO (Tesorino),Cantagallo
30,11.53,42.9,639,CASTELDELPIANO,Casteldelpiano
32,10.83,43.82,23,CASTELMARTINI,Castelmartini
33,10.42,44.12,276,CASTELNUOVO GARFAGNANA,Castelnuovo_garfagnana
34,10.84,43.21,535,CASTELNUOVO VAL DI CECINA,Castelnuovo_val_di_cecina
29,11,42.95,56,CASTEL DI PIETRA,Castel_di_pietra
37,11.08,43.17,564,CHIUSDINO,Chiusdino
38,11.58,43.78,950,CONSUMA ,Consuma
39,12,43.27,651,CORTONA (Redentoristi),Cortona
42,11.53,43.88,180,DICOMANO,Dicomano
44,10.15,42.8,240,ELBA - POGGIO,Elba_poggio
46,10.33,42.8,25,ELBA - PORTOFERRRAIO,Elba_portoferraio
47,10.93,43.72,38,EMPOLI (Prunecchio),Empoli
48,11.27,43.65,149,FERRONE,Ferrone
49,11.28,43.8,295,FIESOLE,Fiesole
50,11.2,43.8,48,FIRENZE - PERETOLA,Firenze_peretola
52,11.27,43.77,51,FIRENZE (Ximeniano),Firenze_ximeniano
54,11.82,43.25,315,FOIANO DELLA CHIANA,Foiano_della_chiana
55,10.77,42.92,5,FOLLONICA,Follonica
56,10.45,44.07,186,GALLICANO,Gallicano
59,10.23,44.17,614,GRAMOLAZZO,Gramolazzo
60,11.31,43.58,240,GREVE IN CHIANTI,Greve_in_chianti
61,11.07,42.75,5,GROSSETO (Aeroporto),Grosseto_aeroporto
62,11.12,42.75,8,GROSSETO (S.I.),Grosseto_s_i
63,9.83,44.42,371,GUINADI (Presa Verde),Guinadi
64,10.32,44.07,585,ISOLA SANTA,Isola_santa
66,10.87,43.23,400,LARDERELLO,Larderello
65,11.08,43.83,36,La Rugea,La_rugea
67,11.21,43.95,440,Le Croci di Calenzano,Le_croci_di_calenzano
69,10.32,43.55,3,LIVORNO,Livorno
70,10.5,43.85,20,LUCCA ,Lucca
74,10.12,44.03,65,MASSA,Massa
75,10.87,43.05,370,MASSA MARITTIMA,Massa_marittima
77,10.66,43.41,421,MIEMO,Miemo
82,10.75,43.39,414,MONTECATINI V.CECINA,Montecatini_v_cecina
84,11.52,43.18,401,MONTEOLIVETO,Monteoliveto
85,11.77,43.08,605,MONTEPULCIANO,Montepulciano
86,10.62,43.32,241,MONTESCUDAIO,Montescudaio
88,11.57,43.52,163,MONTEVARCHI (città),Montevarchi
80,11.17,42.38,631,MONTE ARGENTARIO,Monte_argentario
81,11.72,43.33,330,MONTE SAN SAVINO ,Monte_san_savino
90,10.47,43.88,62,MUTIGLIANO,Mutigliano
92,9.93,44.2,55,NOVEGINO,Novegino
93,10.43,43.58,69,NUGOLA ,Nugola
95,11.18,42.43,1,ORBETELLO,Orbetello
97,11.97,43.42,406,PALAZZO DEL PERO,Palazzo_del_pero
98,11.33,43.05,363,PARI,Pari
99,11,44.03,1313,PASSO DELLA PORRETTA,Passo_della_porretta
100,10.11,42.78,120,PATRESI MORTIGLIANO,Patresi_mortigliano
101,10.68,43.9,81,PESCIA,Pescia
104,11.68,42.85,772,PIANCASTAGNAIO,Piancastagnaio
106,11.68,43.08,499,PIENZA,Pienza
107,12.03,43.67,431,PIEVE S.STEFANO,Pieve_s_stefano
109,10.37,43.68,11,PISA - SAN GIUSTO,Pisa_fac_agr
110,10.4,43.7,6,PISA (Facoltà Agraria),Pisa_san_giusto
111,10.9,43.93,88,PISTOIA (Osservatorio),Pistoia_osserv
112,11.67,42.63,313,PITIGLIANO,Pitigliano
113,11.15,43.47,241,POGGIBONSI (Strozzavolpe) ,Poggibonsi
117,10.75,43.33,66,PONTEGINORI,Ponteginori
118,9.88,44.37,215,PONTREMOLI (S.S. Annunziata),Pontremoli
119,10.72,44.1,640,PORRINO,Porrino
120,11.08,43.88,74,PRATO,Prato
124,11.77,42.7,374,PRATOLUNGO,Pratolungo
121,11.08,43.92,90,PRATO GALCETI,Prato_galceti
122,11.12,43.88,70,Prato in Toscana,Prato_in_toscana
128,10.27,44,440,RETIGNANO ,Retignano
131,10.6,43.36,216,RIPARBELLA,Riparbella
139,10.81,43.36,72,SALINE DI VOLTERRA,Saline_di_volterra
148,12.08,43.57,330,SANSEPOLCRO,Sansepolcro
149,11.58,42.83,687,SANTA FIORA,Santa_fiora
141,11.22,42.55,19,SAN DONATO,San_donato
142,11.02,43.47,332,SAN GIMIGNANO,San_gimignano
143,11.54,43.57,132,SAN GIOVANNI VALDARNO,San_giovanni_alla_vena
144,10.77,44.05,625,SAN MARCELLO PISTOIESE ,San_marcello_pistoiese
146,11.3,43.95,341,SAN PIERO A SIEVE ,San_piero_a_sieve
147,10.05,42.75,226,SAN PIERO IN CAMPO,San_piero_in_campo
150,11.75,43.41,366,SASSA,Sassa
151,11.33,42.7,500,SCANSANO,Scansano
159,11.68,43.8,479,STIA ,Stia
152,10.81,44.07,750,SELVA DEI PORCI,Suvereto
162,11.15,43.07,442,TORNIELLA,Torniella
165,11.27,43.92,315,VAGLIA,Vaglia
168,10.25,43.87,3,VIAREGGIO,Viareggio
171,10.4,44.17,500,VILLACOLLEMANDINA,Villacollemandina
172,11.55,43.95,418,VILLORE ,Villore
