"ID","lon","lat","quota","nome","nomelista","scale_gpd","shape_gpd","location_pp","scale_pp","shape_pp","perc_manc","ci_inf_100_pp","ci_e_100_pp","ci_max_100_pp","ci_inf_100_gpd","ci_e_100_gpd","ci_max_100_gpd"
1,11.65,42.88,829,"ABBADIA S. SALVATORE","Abbadia_s_salvatore",14.2397063394776,0.119855881682196,74.8189430741144,19.6114422398215,0.119860891418996,0.560187229532809,107.16614395366,172.701306597039,238.236469240417,106.98758035837,172.384934161736,237.782287965102
3,11.09,42.71,17,"ALBERESE (Casello Idraulico)","Alberese_cas_idr",13.3770527454782,0.299922826734648,51.4985253445106,19.8213445771631,0.29979347097751,0.000706526538903118,96.9179816850438,199.074917221658,301.231852758272,96.3057000684254,198.36149941612,300.417298763814
4,10.98,43.21,495,"ANCQUA","Ancqua",13.5655327525244,0.224557565656102,61.9058371395814,20.7163209852857,0.224299675209003,0.000706526538903118,115.573874778559,191.878852798391,268.183830818223,115.21703616371,191.151086297013,267.085136430316
5,12.05,43.55,429,"ANGHIARI","Anghiari",10.4341889802307,0.127848890563429,48.5897973662358,12.8125476766365,0.126645950127873,0.376755276870087,67.810483733979,113.577727464783,159.344971195587,67.7058277670254,113.249306892503,158.792786017981
6,11.33,43.73,170,"Antella","Antella",10.9538607731572,0.102578099474424,45.7295667994273,12.5664702099909,0.10250597836069,0.129647619888722,71.8978245456539,106.220977776927,140.5441310082,71.7108124974238,106.018501605649,140.326190713874
7,11.87,43.47,277,"AREZZO (Areoporto)","Arezzo_aeroporto",11.3146429120712,0.188689746998864,44.3560872360447,14.0237757775634,0.188698190629521,0.0278194824693103,73.9561184155564,125.5195950831,177.083071750645,73.6150767994076,125.227408582149,176.83974036489
8,11.9,43.47,296,"AREZZO (San Fabiano) ","Arezzo_san_fabiano",12.8351881176613,0.0123938698015565,46.3926870520474,13.0388346609098,0.0124548768910549,0.000706526538903118,73.4701556967882,98.6559698996248,123.841784102461,73.4053013322782,98.5259503399598,123.646599347641
9,10.12,44.27,385,"ARLIA  ","Arlia",13.949538039479,0.16376275408057,73.4741030163166,21.0804521368832,0.163996938755934,0.00565221231122494,133.976768531567,188.931426491258,243.886084450948,133.694064515606,188.686401471983,243.678738428361
11,10.62,43.53,141,"BAGNI DI CASCIANA","Bagni_di_casciana",14.1144884559535,-0.0288112109877597,50.8992858061605,13.5114830427107,-0.028846977111359,0.161882893226177,77.083390797539,100.890567736969,124.697744676398,77.1381909309892,100.761411779399,124.38463262781
13,11.33,43.76,62,"Bagno a Ripoli","Bagno_a_ripoli",20.1551088620157,0.0283558673487491,88.1807705225729,21.8146372956333,0.0286105672949195,0.235273337454738,137.36713641479,178.388479141756,219.409821868721,137.222371719514,178.23321958889,219.244067458266
14,10,44.32,250,"BAGNONE","Bagnone",10.7403024170819,0.0818017998535223,43.9299194042325,11.8779237513522,0.0817593313659041,0.323059259913451,66.8606275833881,98.7033515498848,130.546075516382,66.6652534185957,98.5227179562925,130.380182493989
16,10.62,43.27,160,"BIBBONA","Bibbona",12.6222636928124,0.0937373705769434,50.3277348304457,14.5263455994804,0.0946011049497169,0.0794842356266007,82.4391345766161,119.00018822571,155.561241874804,82.1793050462996,118.885192008748,155.591078971197
18,11.4,43.95,193,"BORGO S.LORENZO ","Borgo_san_lorenzo",12.9576225584197,0.110466270571261,55.3529350440238,15.76267446641,0.110527291656893,0.0502517000794842,93.7592764087968,132.451409164058,171.14354191932,93.5320708852255,132.251824766902,170.971578648578
19,10.68,44.13,1340,"BOSCOLUNGO ","Boscolungo",27.992825908026,0.0372750316199346,127.130207437813,31.5799987390942,0.0368397988855121,0.000706526538903118,205.373660767635,260.297893599971,315.222126432308,205.431502174476,259.649948319251,313.868394464026
20,10.61,43.36,65,"CACCIATINA","Cacciatina",16.0381171917553,-0.0929767733138664,50.8767439758161,14.0983458585189,-0.0928847623125137,0.00114810562571757,77.2041357873249,97.1079755038788,117.011815220433,77.6316438163879,97.0214785807848,116.411313345182
